,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Sale Price,X Coordinate,Y Coordinate,Building Class Category,Address,Borough,Neighborhood
65,10459,3.017094017094017,0.1623931623931624,3.1794871794871793,2652.6666666666665,3539.769230769231,1942.8034188034187,1.4188034188034189,615772.0769230769,-73.89411018269504,40.82605583038085,03 Three Family Dwellings                  ,888 Union Avenue,Bronx,Morrisania/Longwood
66,10460,2.3884892086330933,0.28776978417266186,2.676258992805755,2871.223021582734,3105.856115107914,1938.7482014388488,1.6618705035971224,625205.0863309352,-73.87864638888563,40.84012411368988,02 Two Family Dwellings                    ,645 Mead Street,Bronx,East Tremont
67,10461,1.8552188552188553,0.05723905723905724,1.9023569023569022,2660.158249158249,2040.5252525252524,1940.5286195286196,1.1885521885521886,523096.3367003367,-73.8410640273672,40.845859177402055,02 Two Family Dwellings                    ,1144 Lydig Avenue,Bronx,Schuylerville/Pelham Bay
68,10462,1.5959183673469388,0.08571428571428572,1.6816326530612244,1845.938775510204,1791.6204081632652,1933.7795918367347,1.3918367346938776,430852.77959183673,-73.85794901525807,40.84289274925272,02 Two Family Dwellings                    ,1443 Zerega Avenue,Bronx,Morris Park/Van Nest
69,10463,0.7516339869281046,0.0196078431372549,0.7777777777777778,609.9498910675381,690.2287581699346,1956.7037037037037,1.908496732026144,402279.0174291939,-73.90567037074157,40.88098775412403,10 Coops - Elevator Apartments             ,2287 Johnson Avenue,Bronx,Riverdale
70,10464,1.163265306122449,0.04081632653061224,1.2040816326530612,3921.918367346939,1397.5714285714287,1947.1020408163265,1.0204081632653061,529002.2653061225,-73.7876487852114,40.84861236933124,01 One Family Dwellings                    ,152A Tier Street,Bronx,City Island
71,10465,1.4573863636363635,0.014204545454545454,1.4715909090909092,2787.661931818182,1664.5426136363637,1951.1647727272727,1.0767045454545454,475834.26136363635,-73.81847079270959,40.82647887768817,01 One Family Dwellings                    ,600 Clarence Avenue,Bronx,Throgs Neck
72,10466,1.8686868686868687,0.0707070707070707,1.9393939393939394,2826.4267676767677,2193.820707070707,1945.199494949495,1.1641414141414141,459496.404040404,-73.84740211677367,40.89120944285651,02 Two Family Dwellings                    ,3701 Pratt Avenue,Bronx,Williamsbridge
73,10467,1.825657894736842,0.10855263157894737,1.9342105263157894,2116.2302631578946,2028.029605263158,1937.7894736842106,1.4703947368421053,458180.0427631579,-73.86796867856582,40.87452206784564,02 Two Family Dwellings                    ,610 Waring Avenue,Bronx,Bronxdale
74,10468,2.382608695652174,0.008695652173913044,2.4,1570.9391304347826,2414.9217391304346,1937.3304347826088,1.6695652173913043,529968.4086956521,-73.90024471544353,40.865509153401284,10 Coops - Elevator Apartments             ,3124 Jerome Avenue,Bronx,Kingsbridge Hts/Univ Hts
